"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4","4","2200u","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"2","C5, C6, C7, C8","4","100n","Capacitor_SMD:C_0805_2012Metric",""
"3","C9, C10","2","10u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"4","D1, D2, D3, D4, D5, D6, D7, D8","8","1N4002","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"5","HS1, HS2","2","AAVID_TV-5G","Heatsink:Heatsink_AAVID_TV5G_TO220_Horizontal",""
"6","J1, J2, J3, J4, J5, J6","6","PJ302M","custom_footprints:PJ302M",""
"7","J7, J8","2","CUI_SDF-50J","custom_footprints:CUI_SDF-50J",""
"8","J9","1","NRJ6HM-1","custom_footprints:Jack_6.35mm_Neutrik_NRJ6HM-1_Horizontal",""
"9","J10","1","VCO_EXT_CON","custom_footprints:12_pin_IDC_header",""
"10","J11","1","VCF_EXT_CON","custom_footprints:6_pin_IDC-Header",""
"11","J12","1","MOD_BOARD_EXT_CON","custom_footprints:16_pin_IDC_header",""
"12","J13, J14, J15","3","power_out","custom_footprints:10_pin_IDC-Header",""
"13","J16","1","Mini-Fit_Jr_5566","Connector_Molex:Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical",""
"14","M1","1","keystone_7792","custom_footprints:keystone_7792",""
"15","R1, R2","2","240","Resistor_SMD:R_0805_2012Metric",""
"16","RV1, RV2","2","5k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"17","TP1","1","V+","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"18","TP2","1","V-","TestPoint:TestPoint_Keystone_5000-5004_Miniature",""
"19","TP3","1","GND","TestPoint:TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",""
"20","U1","1","LM317_TO-220","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
"21","U2","1","LM337_TO220","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown",""
